date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-14,AMZN,84,0,78,6,0.0,0.9046,0.7242
2025-09-14,AAPL,84,0,72,12,0.0,0.8213,0.7685
2025-09-14,GOOGL,84,6,66,12,0.9479,0.8331,0.7002
2025-09-14,005930.KS,73,10,48,15,0.7994,0.8112,0.8396
2025-09-14,2317.TW,69,24,15,30,0.7781,0.6057,0.9062
2025-09-14,MSFT,81,0,63,18,0.0,0.8506,0.8501
2025-09-14,JD,60,32,14,14,0.8991,0.7916,0.8077
2025-09-14,BABA,70,10,55,5,0.8332,0.858,0.8998
2025-09-14,T,84,12,48,24,0.9245,0.8448,0.8501
2025-09-14,META,72,0,61,11,0.0,0.8198,0.7518
