symbol,predicted_price,date
AMZN,227.12,2025-08-17
AAPL,231.05,2025-08-17
GOOGL,202.39,2025-08-17
005930.KS,71414.78,2025-08-17
2317.TW,204.75,2025-08-17
MSFT,518.83,2025-08-17
JD,31.6,2025-08-17
BABA,121.99,2025-08-17
T,28.56,2025-08-17
META,778.84,2025-08-17
