date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-15,AMZN,84,0,84,0,0.0,0.823,0.0
2025-09-15,AAPL,84,6,66,12,0.666,0.8027,0.7864
2025-09-15,GOOGL,84,6,72,6,0.666,0.8138,0.6529
2025-09-15,005930.KS,75,6,53,16,0.666,0.8114,0.6568
2025-09-15,2317.TW,58,12,12,34,0.7445,0.6057,0.8749
2025-09-15,MSFT,74,5,42,27,0.7385,0.7414,0.8803
2025-09-15,JD,59,20,30,9,0.902,0.8791,0.8789
2025-09-15,BABA,67,11,51,5,0.8823,0.9135,0.6149
2025-09-15,T,84,24,48,12,0.7708,0.7248,0.7239
2025-09-15,META,65,0,54,11,0.0,0.7645,0.8249
