symbol,predicted_price,date
AMZN,228.08,2025-09-14
AAPL,229.46,2025-09-14
GOOGL,238.99,2025-09-14
005930.KS,74262.47,2025-09-14
2317.TW,214.86,2025-09-14
MSFT,500.63,2025-09-14
JD,33.65,2025-09-14
BABA,154.75,2025-09-14
T,29.32,2025-09-14
META,750.03,2025-09-14
