date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-16,AMZN,84,12,36,36,0.8391,0.8493,0.926
2025-08-16,AAPL,84,12,60,12,0.8308,0.827,0.9066
2025-08-16,GOOGL,84,0,72,12,0.0,0.876,0.9434
2025-08-16,005930.KS,74,12,47,15,0.826,0.8484,0.9557
2025-08-16,2317.TW,71,46,15,10,0.9213,0.8844,0.9473
2025-08-16,MSFT,82,0,60,22,0.0,0.91,0.8923
2025-08-16,JD,71,35,16,20,0.8583,0.7078,0.9238
2025-08-16,BABA,74,30,44,0,0.8069,0.8242,0.0
2025-08-16,T,84,0,48,36,0.0,0.9002,0.9132
2025-08-16,META,84,0,60,24,0.0,0.8264,0.9483
