date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-21,AMZN,84,0,84,0,0.0,0.8951,0.0
2025-08-21,AAPL,78,6,42,30,0.7629,0.9098,0.7414
2025-08-21,GOOGL,84,12,60,12,0.6282,0.8846,0.9569
2025-08-21,005930.KS,81,5,65,11,0.8244,0.8371,0.9166
2025-08-21,2317.TW,65,40,15,10,0.7642,0.7203,0.9114
2025-08-21,MSFT,84,12,72,0,0.8011,0.8749,0.0
2025-08-21,JD,53,4,11,38,0.6938,0.8459,0.8984
2025-08-21,BABA,71,0,61,10,0.0,0.8456,0.89
2025-08-21,T,84,6,78,0,0.6242,0.7969,0.0
2025-08-21,META,82,12,46,24,0.5103,0.8354,0.788
