date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-18,AMZN,84,0,78,6,0.0,0.8896,0.9034
2025-08-18,AAPL,84,0,84,0,0.0,0.8586,0.0
2025-08-18,GOOGL,84,0,84,0,0.0,0.8668,0.0
2025-08-18,005930.KS,72,5,67,0,0.5691,0.8436,0.0
2025-08-18,2317.TW,53,21,22,10,0.9214,0.8406,0.9451
2025-08-18,MSFT,73,5,53,15,0.6075,0.8716,0.8578
2025-08-18,JD,57,15,17,25,0.775,0.8438,0.9196
2025-08-18,BABA,64,0,49,15,0.0,0.8961,0.7748
2025-08-18,T,78,6,48,24,0.9032,0.8343,0.7826
2025-08-18,META,76,16,48,12,0.7633,0.8397,0.8753
