date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-11,AMZN,84,12,60,12,0.6115,0.912,0.8891
2025-08-11,AAPL,84,0,66,18,0.0,0.794,0.8443
2025-08-11,GOOGL,84,0,72,12,0.0,0.8306,0.6277
2025-08-11,005930.KS,66,10,51,5,0.709,0.7231,0.8107
2025-08-11,2317.TW,58,16,42,0,0.7941,0.7992,0.0
2025-08-11,MSFT,75,10,47,18,0.8162,0.9206,0.9256
2025-08-11,JD,61,31,14,16,0.7333,0.6931,0.8513
2025-08-11,BABA,65,8,47,10,0.7631,0.9268,0.8683
2025-08-11,T,78,0,60,18,0.0,0.8007,0.8414
2025-08-11,META,66,0,51,15,0.0,0.8799,0.8872
