symbol,predicted_price,date
AMZN,228.0,2025-09-16
AAPL,232.54,2025-09-16
GOOGL,243.41,2025-09-16
005930.KS,75776.16,2025-09-16
2317.TW,217.32,2025-09-16
MSFT,506.06,2025-09-16
JD,33.54,2025-09-16
BABA,156.42,2025-09-16
T,29.47,2025-09-16
META,757.93,2025-09-16
