date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-03,AMZN,84,0,78,6,0.0,0.9167,0.5664
2025-09-03,AAPL,84,6,66,12,0.5217,0.8156,0.7729
2025-09-03,GOOGL,84,0,72,12,0.0,0.9036,0.7342
2025-09-03,005930.KS,74,6,51,17,0.9483,0.8684,0.6875
2025-09-03,2317.TW,66,18,40,8,0.8797,0.7448,0.9001
2025-09-03,MSFT,78,5,67,6,0.8342,0.7987,0.9168
2025-09-03,JD,60,40,15,5,0.8554,0.7908,0.7266
2025-09-03,BABA,78,46,27,5,0.8625,0.8571,0.4648
2025-09-03,T,84,24,54,6,0.7266,0.8669,0.7878
2025-09-03,META,79,6,51,22,0.6186,0.8214,0.6958
