date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-02,AMZN,84,0,84,0,0.0,0.8224,0.0
2025-09-02,AAPL,84,6,66,12,0.8604,0.8122,0.7142
2025-09-02,GOOGL,84,18,30,36,0.8521,0.8598,0.7352
2025-09-02,005930.KS,78,6,54,18,0.8976,0.8174,0.8607
2025-09-02,2317.TW,42,26,7,9,0.8472,0.6373,0.9162
2025-09-02,MSFT,77,11,42,24,0.8236,0.7847,0.815
2025-09-02,JD,55,44,5,6,0.8346,0.9234,0.8966
2025-09-02,BABA,73,21,40,12,0.7627,0.9,0.9703
2025-09-02,T,84,6,54,24,0.6962,0.8503,0.8578
2025-09-02,META,75,16,53,6,0.6928,0.8119,0.8588
