symbol,predicted_price,date
AMZN,228.18,2025-09-02
AAPL,230.54,2025-09-02
GOOGL,208.99,2025-09-02
005930.KS,68963.31,2025-09-02
2317.TW,199.99,2025-09-02
MSFT,506.5,2025-09-02
JD,30.91,2025-09-02
BABA,129.51,2025-09-02
T,28.99,2025-09-02
META,746.51,2025-09-02
