symbol,predicted_price,date
AMZN,232.23,2025-09-11
AAPL,230.8,2025-09-11
GOOGL,236.83,2025-09-11
005930.KS,71854.72,2025-09-11
2317.TW,208.03,2025-09-11
MSFT,501.61,2025-09-11
JD,33.29,2025-09-11
BABA,145.06,2025-09-11
T,29.01,2025-09-11
META,753.17,2025-09-11
