date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-06,AMZN,84,18,60,6,0.7475,0.8721,0.6763
2025-09-06,AAPL,78,30,48,0,0.659,0.8441,0.0
2025-09-06,GOOGL,78,30,36,12,0.6033,0.8533,0.8587
2025-09-06,005930.KS,79,17,45,17,0.566,0.771,0.7764
2025-09-06,2317.TW,52,33,14,5,0.8912,0.832,0.6803
2025-09-06,MSFT,78,36,42,0,0.6505,0.8089,0.0
2025-09-06,JD,52,13,29,10,0.7001,0.835,0.8412
2025-09-06,BABA,71,41,25,5,0.9072,0.8164,0.4504
2025-09-06,T,84,12,48,24,0.7617,0.7541,0.6829
2025-09-06,META,78,30,30,18,0.7431,0.8392,0.8532
