date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-22,AMZN,84,0,66,18,0.0,0.9244,0.6459
2025-08-22,AAPL,84,6,42,36,0.9347,0.8209,0.8821
2025-08-22,GOOGL,84,0,78,6,0.0,0.8061,0.5133
2025-08-22,005930.KS,75,23,42,10,0.7861,0.8286,0.7479
2025-08-22,2317.TW,67,37,11,19,0.7265,0.8741,0.9393
2025-08-22,MSFT,84,6,54,24,0.9428,0.7559,0.7316
2025-08-22,JD,44,8,8,28,0.6942,0.8355,0.8948
2025-08-22,BABA,71,16,30,25,0.8209,0.931,0.9341
2025-08-22,T,84,0,42,42,0.0,0.8581,0.8551
2025-08-22,META,84,30,24,30,0.7902,0.7673,0.8192
