date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-26,AMZN,84,0,84,0,0.0,0.8993,0.0
2025-08-26,AAPL,84,24,48,12,0.8204,0.878,0.8519
2025-08-26,GOOGL,84,6,72,6,0.8807,0.8649,0.7679
2025-08-26,005930.KS,78,16,57,5,0.8073,0.7266,0.9673
2025-08-26,2317.TW,51,5,13,33,0.5301,0.9268,0.9175
2025-08-26,MSFT,84,0,66,18,0.0,0.8682,0.6762
2025-08-26,JD,26,3,11,12,0.7762,0.7394,0.9291
2025-08-26,BABA,64,13,41,10,0.8013,0.9032,0.8595
2025-08-26,T,84,18,48,18,0.8302,0.7663,0.8532
2025-08-26,META,83,0,71,12,0.0,0.8321,0.5212
