date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-01,AMZN,84,0,84,0,0.0,0.8534,0.0
2025-09-01,AAPL,84,12,54,18,0.6655,0.7824,0.8269
2025-09-01,GOOGL,84,0,66,18,0.0,0.8581,0.5469
2025-09-01,005930.KS,73,17,45,11,0.6947,0.7924,0.5848
2025-09-01,2317.TW,52,28,12,12,0.8287,0.7077,0.9162
2025-09-01,MSFT,62,5,46,11,0.6091,0.9009,0.8447
2025-09-01,JD,58,42,0,16,0.8807,0.0,0.9162
2025-09-01,BABA,70,30,20,20,0.82,0.8155,0.8533
2025-09-01,T,84,42,12,30,0.6645,0.7201,0.8311
2025-09-01,META,72,5,62,5,0.7767,0.8651,0.961
