Date,Close,High,Low,Open,Volume
2000-01-03,6.392264366149902,6.664275674234414,6.3412620741545425,6.604772771267141,7668476
2000-01-04,6.018250465393066,6.494270357713888,5.916245859293787,6.40076636442895,9497846
2000-01-05,6.11175012588501,6.154252477684361,6.043747324690965,6.120250733628439,12035160
2000-01-06,5.993330955505371,6.164568666512083,5.907711408110112,6.104635606038115,9471366
2000-01-07,6.044703483581543,6.130323054063482,5.941960967652141,6.104637252108109,7792534
2000-01-10,6.130322456359863,6.164569727699874,6.06182722178782,6.130322456359863,9425159
2000-01-11,6.044703483581543,6.1560081641267645,6.001894044286618,6.1217608894476605,8569987
2000-01-12,5.727912425994873,5.967645728549344,5.68510299416807,5.959083565427195,11810080
2000-01-13,5.590924263000488,5.88202928003031,5.58236244230888,5.804971855967455,10923000
2000-01-14,5.753598690032959,5.753598690032959,5.479617734136907,5.650855831571939,13092109
2000-01-18,5.633730888366699,5.8991499643281164,5.599483276821547,5.770721334547308,13007638
2000-01-19,5.556676864624023,5.616609957895762,5.479619437366974,5.616609957895762,13521085
2000-01-20,5.616605281829834,5.693662644933307,5.48817703521575,5.590919840074529,13346450
2000-01-21,5.890588760375977,5.941960359024796,5.75359829190714,5.873465124790377,21118330
2000-01-24,5.753598690032959,5.959084406954998,5.60804639369969,5.950522242623721,13214050
2000-01-25,5.479618072509766,5.633732542691062,5.282694507758742,5.6166085589171155,21108664
2000-01-26,5.479618072509766,5.548113661659496,5.436808631993983,5.548113661659496,10144620
2000-01-27,5.342626094818115,5.522425959911398,5.342626094818115,5.48817835008668,9162212
2000-01-28,5.376875877380371,5.539551830323925,5.342628253716558,5.385437696809805,11453394
2000-01-31,5.873466968536377,5.959085865233111,5.35119073003717,5.411124165292555,14902017
2000-02-01,5.804970741271973,5.890589623639403,5.719351858904544,5.890589623639403,11849270
2000-02-02,5.822094440460205,5.907713323726062,5.822094440460205,5.8905896854513164,8837832
2000-02-03,5.753598690032959,5.916274969082749,5.659417995903216,5.890589167980985,10199831
2000-02-04,5.753598690032959,5.804970292236486,5.6936656153902225,5.753598690032959,8967452
2000-02-07,5.736473560333252,5.796406965324228,5.625168912454256,5.667978339185263,7685158
2000-02-08,5.762159824371338,5.890588115031378,5.753597661570558,5.822092888300968,7506815
2000-02-09,5.83922004699707,5.864905164077524,5.753600453123867,5.796410250060468,9015778
2000-02-10,5.770724296569824,5.813533400542066,5.745038488240348,5.804971925693748,6820189
2000-02-11,5.539551734924316,5.762161457878455,5.445371030930325,5.7535992926503985,7382227
2000-02-14,5.599486351013184,5.685105599855134,5.402562390028225,5.4111245570747215,11199848
2000-02-15,5.573800563812256,5.616610015429485,5.419686399611771,5.4796194934974345,10846076
2000-02-16,5.351189613342285,5.5737989750562065,5.308380173927461,5.530989535641383,11221032
2000-02-17,5.479618072509766,5.479618072509766,5.205637445641122,5.334066113134526,12278246
2000-02-18,5.239888668060303,5.239888668060303,4.931659861830939,5.214202847721283,18433258
2000-02-22,5.00015115737915,5.111455828662892,4.87172250423467,5.102894010705532,18610144
2000-02-23,4.8974080085754395,5.000150855702994,4.768979363179498,4.931655624284625,17048221
2000-02-24,4.863161563873291,4.914532826833825,4.7689805115085555,4.854599744370883,17063712
2000-02-25,4.854599475860596,5.025837586167906,4.786104231737672,4.93165653901237,15037198
2000-02-28,5.068648338317871,5.137143600157821,4.897410183717995,4.897410183717995,14914728
2000-02-29,5.171390533447266,5.222761799924071,5.085771294724454,5.094333460759007,11358596
2000-03-01,5.753598690032959,5.753598690032959,5.445370460595934,5.488179898468184,20222246
2000-03-02,6.198817729949951,6.3015602365087116,5.864903026876921,5.890588826489617,19829813
2000-03-03,6.241629600524902,6.3015626950761945,6.053267457803272,6.233067433349447,11771287
2000-03-06,5.941960334777832,6.104636601907257,5.856341465307193,6.104636601907257,8518881
2000-03-07,5.736473560333252,6.09607329838722,5.736473560333252,5.967645018194199,9067944
2000-03-08,5.702226161956787,5.762159569178071,5.667978550108333,5.736473773805241,9005318
2000-03-09,5.693667411804199,5.70222923289079,5.565238711720765,5.667981602598283,7905207
2000-03-10,5.753598690032959,5.822093929006972,5.676541632673703,5.6936656153902225,9810708
2000-03-13,5.984770774841309,6.027580216767804,5.625170909145043,5.6508563667333,8576607
2000-03-14,5.770724296569824,5.993334058848399,5.7536003090347965,5.993334058848399,8785137
2000-03-15,5.822094440460205,5.8905896854513164,5.796408983048086,5.839218770627079,9315134
2000-03-16,6.181694507598877,6.233066116009779,5.88202840628364,6.019018900784609,12592696
2000-03-17,6.2673163414001465,6.412868361763925,6.181696732600536,6.21594471449886,12006297
2000-03-20,6.087515354156494,6.2673160396543235,6.053268065799438,6.181696434976949,6135946
2000-03-21,6.198817729949951,6.2159413657277405,6.0018934968832856,6.104636695334072,5822290
2000-03-22,5.933398723602295,6.156008081712531,5.890589284880486,6.078951368770109,6681963
2000-03-23,5.967648029327393,6.027581118613236,5.804971710531834,5.81353318506282,7322117
2000-03-24,5.890588760375977,5.984769793934805,5.830655689880367,5.899150924114786,6791855
2000-03-27,5.9162726402282715,5.976205691279236,5.813529476264567,5.907710479267365,7783531
2000-03-28,5.822094440460205,5.941961292167682,5.813532275376768,5.847780243818388,8294330
2000-03-29,5.787847518920898,6.010457265074925,5.745038072103392,5.8820289246224045,9027562
2000-03-30,5.702226161956787,5.941959444895967,5.693664345481163,5.890587854150307,11746263
2000-03-31,5.770724296569824,5.890590825530494,5.7536003090347965,5.822095567282645,10112580
2000-04-03,6.130322456359863,6.147446092029869,5.813531391058642,5.822093554839656,10210688
2000-04-04,6.30156135559082,6.464237654099251,6.130323583619093,6.164570861256578,14282915
2000-04-05,6.344371318817139,6.4556760181040875,6.284438232090999,6.301561872313866,11309476
2000-04-06,6.4317450523376465,6.528770688564625,6.347655563581534,6.356280358848596,7681186
2000-04-07,6.399401664733887,6.511520496074628,6.252784356159757,6.485646812387839,6840711
2000-04-10,6.382153511047363,6.4080272005452805,6.287284245492558,6.347655723018919,5590987
2000-04-11,6.520143508911133,6.658136001001998,6.356278034387016,6.390775808933284,8636320
2000-04-12,6.485642433166504,6.761627276871677,6.485642433166504,6.6150100672961,10310782
2000-04-13,6.485642433166504,6.528764977876369,6.347650011313917,6.528764977876369,7607704
2000-04-14,5.881929874420166,6.433899218111062,5.795684032854816,6.29590670795009,9912788
2000-04-17,5.778434753417969,6.0112971857211335,5.640442252568162,6.002672393060667,9938871
2000-04-18,5.726686954498291,5.7870584039835835,5.580069681094635,5.674939599537843,8932498
2000-04-19,5.7870612144470215,5.881931527440045,5.6749423555512,5.718064939976271,9492815
2000-04-20,5.68356466293335,5.8474308402264885,5.649066538686187,5.795683479617514,5131692
2000-04-24,5.83018159866333,5.856054930468274,5.657690977581402,5.6835646578628065,6496074
2000-04-25,6.201035499572754,6.270031740516684,5.8560542948531005,5.90780164979926,12350802
2000-04-26,6.071671485900879,6.235537744492113,6.002675203175795,6.209664051351048,9860225
2000-04-27,5.968172073364258,6.106164515417281,5.93367361437468,6.037168294390769,9482488
2000-04-28,6.045795440673828,6.11479169655627,5.968175088401704,6.002672867866426,9594366
2000-05-01,6.1579155921936035,6.226911862897673,6.028547845980904,6.088919321489534,9452433
2000-05-02,5.8474321365356445,6.140666083404927,5.761186981036399,6.140666083404927,9536772
2000-05-03,5.7870612144470215,5.890555626153149,5.752563077211646,5.838808594538381,6282777
2000-05-04,5.666316032409668,5.795683742855009,5.631817906595615,5.795683742855009,5992689
2000-05-05,5.9336748123168945,5.959548487544521,5.6663146632193975,5.6663146632193975,6183212
2000-05-08,5.916429042816162,5.925053838083921,5.778436500250933,5.881931255651431,5295073
2000-05-09,5.838808059692383,6.002673935192544,5.778436237941502,5.847432506092063,6373604
2000-05-10,6.226912021636963,6.347655672685423,5.83018362921327,5.864681765444747,10986949
2000-05-11,6.287283897399902,6.3390305765776365,6.2355365212690375,6.252785414328282,6833561
2000-05-12,6.1880998611450195,6.209660796157844,6.09754198262303,6.1665382291792925,4607255
2000-05-15,6.347654819488525,6.451149562748669,6.071669766732235,6.123417138362307,6380356
2000-05-16,6.3045334815979,6.47702382500598,6.252786099794194,6.4166523442037935,5903451
2000-05-17,6.252782344818115,6.270031229409829,6.183786109498471,6.235533460226402,4451950
2000-05-18,6.106170654296875,6.287285829457741,6.0630480599207965,6.218289539065347,4863846
2000-05-19,5.890554428100586,6.0285469489764285,5.847431852446015,5.916428112883937,7610749
2000-05-22,5.864681243896484,6.0199226688941625,5.7611871928824,6.0199226688941625,5948467
2000-05-23,5.769811153411865,5.856055956346717,5.761186707966033,5.830182620009218,5967003
2000-05-24,5.950924396514893,5.976798074784692,5.804307815589855,5.804307815589855,6572204
2000-05-25,5.804306983947754,5.959548334370673,5.735310750765038,5.864678426625343,5914970
2000-05-26,5.881929874420166,5.94230133625822,5.804308826097248,5.804308826097248,4454730
2000-05-30,6.106170654296875,6.106170654296875,5.899181783119692,5.968178073512086,5542132
2000-05-31,6.028547763824463,6.114792926790923,5.968176289138569,6.071670345307693,5849432
2000-06-01,6.071671485900879,6.192415154908094,6.071671485900879,6.088920382343833,5488377
2000-06-02,6.209661483764648,6.270032944829078,6.175163705142968,6.209661483764648,6992176
2000-06-05,6.114791393280029,6.252783898200877,6.114791393280029,6.252783898200877,4387868
2000-06-06,6.252782344818115,6.3993996062296565,6.157912434134506,6.166537224906757,7003828
2000-06-07,6.399401664733887,6.451149032107463,6.2182865758793815,6.24416025956617,6150642
2000-06-08,6.485642433166504,6.528764977876369,6.390772556023782,6.399397343746773,5981700
2000-06-09,6.640888690948486,6.640888690948486,6.502896166084219,6.520145057453987,6734394
2000-06-12,6.459771156311035,6.580514744331212,6.433897480524369,6.5373921836710345,5155656
2000-06-13,6.6236348152160645,6.632259602887227,6.416646183681029,6.416646183681029,5550208
2000-06-14,6.899625301361084,6.9427478810873655,6.7012605982764555,6.7443838749558465,10953452
2000-06-15,6.718508720397949,6.890999001630963,6.640887675671318,6.813378653857289,8248123
2000-06-16,6.520143508911133,6.744381831273462,6.511519413751015,6.709883359774297,10847400
2000-06-19,6.5546441078186035,6.718510332480865,6.520145625122437,6.520145625122437,6736115
2000-06-20,6.511519908905029,6.615013937366701,6.485646227551373,6.606389841550784,5069596
2000-06-21,6.640888690948486,6.735758638911803,6.502896166084219,6.520145057453987,6099403
2000-06-22,6.7788801193237305,6.7788801193237305,6.606389839620362,6.623638728200109,5734244
2000-06-23,6.701259613037109,6.778880663304203,6.658137039650838,6.7271339934124805,3666818
2000-06-26,6.537393093109131,6.804753285176699,6.494270526450033,6.701258567632545,5744174
2000-06-27,6.425274848937988,6.76163131681281,6.382151581510279,6.623638812512429,11158010
2000-06-28,6.198879718780518,6.468396258595011,6.088916591393862,6.425273695859032,9186044
