date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-15,AMZN,78,24,36,18,0.7715,0.8208,0.7398
2025-08-15,AAPL,66,18,36,12,0.8885,0.7675,0.8592
2025-08-15,GOOGL,78,18,48,12,0.8454,0.7523,0.8696
2025-08-15,005930.KS,76,6,60,10,0.9484,0.7974,0.7666
2025-08-15,2317.TW,65,19,36,10,0.869,0.8312,0.8741
2025-08-15,MSFT,84,12,60,12,0.8785,0.8576,0.7832
2025-08-15,JD,70,50,15,5,0.7712,0.7494,0.8503
2025-08-15,BABA,74,5,69,0,0.8253,0.9466,0.0
2025-08-15,T,84,6,42,36,0.8094,0.8269,0.8217
2025-08-15,META,84,6,60,18,0.9207,0.8172,0.7597
