date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-20,AMZN,84,12,72,0,0.8718,0.888,0.0
2025-08-20,AAPL,84,6,66,12,0.8011,0.8594,0.8822
2025-08-20,GOOGL,84,0,78,6,0.0,0.9013,0.7447
2025-08-20,005930.KS,79,6,73,0,0.8316,0.755,0.0
2025-08-20,2317.TW,76,22,49,5,0.8485,0.7968,0.9254
2025-08-20,MSFT,84,18,66,0,0.8645,0.9406,0.0
2025-08-20,JD,47,9,12,26,0.7136,0.9174,0.8961
2025-08-20,BABA,74,22,37,15,0.8636,0.8831,0.9433
2025-08-20,T,84,18,30,36,0.7926,0.7968,0.8138
2025-08-20,META,82,12,70,0,0.9209,0.8461,0.0
