symbol,predicted_price,date
AMZN,228.16,2025-08-20
AAPL,229.58,2025-08-20
GOOGL,201.85,2025-08-20
005930.KS,69933.08,2025-08-20
2317.TW,205.67,2025-08-20
MSFT,518.13,2025-08-20
JD,31.27,2025-08-20
BABA,120.48,2025-08-20
T,28.71,2025-08-20
META,760.78,2025-08-20
