symbol,predicted_price,date
AMZN,227.95,2025-08-20
AAPL,229.44,2025-08-20
GOOGL,199.96,2025-08-20
005930.KS,70422.08,2025-08-20
2317.TW,210.16,2025-08-20
MSFT,517.83,2025-08-20
JD,31.34,2025-08-20
BABA,120.14,2025-08-20
T,28.84,2025-08-20
META,767.44,2025-08-20
