symbol,predicted_price,date
AMZN,222.99,2025-08-22
AAPL,225.32,2025-08-22
GOOGL,199.28,2025-08-22
005930.KS,70358.97,2025-08-22
2317.TW,203.2,2025-08-22
MSFT,515.78,2025-08-22
JD,31.09,2025-08-22
BABA,118.76,2025-08-22
T,29.11,2025-08-22
META,741.01,2025-08-22
