date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-31,AMZN,84,6,48,30,0.4781,0.8356,0.718
2025-08-31,AAPL,84,12,66,6,0.8648,0.83,0.589
2025-08-31,GOOGL,84,6,66,12,0.5998,0.8099,0.7333
2025-08-31,005930.KS,74,12,35,27,0.9049,0.7115,0.8986
2025-08-31,2317.TW,59,29,13,17,0.8629,0.7817,0.8392
2025-08-31,MSFT,80,6,62,12,0.7938,0.8768,0.9206
2025-08-31,JD,68,44,0,24,0.8539,0.0,0.9126
2025-08-31,BABA,70,20,5,45,0.9187,0.9223,0.9224
2025-08-31,T,84,6,66,12,0.8708,0.7918,0.9073
2025-08-31,META,81,6,40,35,0.6197,0.8878,0.8112
