symbol,predicted_price,date
AMZN,223.61,2025-08-25
AAPL,225.24,2025-08-25
GOOGL,202.23,2025-08-25
005930.KS,70943.54,2025-08-25
2317.TW,201.68,2025-08-25
MSFT,513.61,2025-08-25
JD,31.61,2025-08-25
BABA,121.23,2025-08-25
T,28.82,2025-08-25
META,741.86,2025-08-25
